epoch,avg_loss,avg_revenue,avg_peak_kWh
1,9.09105746178226,7.089461008610932,8.090259235196589
2,8.91597379840674,7.263132896666298,8.089553347536514
3,8.789497358704551,7.389609336368483,8.089553347536514
4,8.718828247488563,7.460278447584478,8.089553347536514
5,8.780637823091753,7.399779287124826,8.090208555108283
6,8.232587452446756,7.946519242626287,8.089553347536514
7,8.493687790274155,7.685418904798886,8.089553347536514
8,8.457321558536849,7.721785136536185,8.089553347536514
9,8.434091728458458,7.745869016748223,8.089980372603337
10,8.51359255063578,7.66797214227923,8.090782346457502
11,8.07404335495647,8.105063340116569,8.089553347536514
12,8.117307609275224,8.061799085797816,8.089553347536514
13,8.195038669666042,7.984068025407001,8.089553347536514
14,8.087678933614177,8.09228181159251,8.089980372603337
15,8.080379115526537,8.098890411991611,8.089634763759067
16,7.914380375208226,8.264726319864813,8.089553347536514
17,7.885401759594581,8.294852518176892,8.09012713888573
18,7.864976112378267,8.31413058269478,8.089553347536514
19,7.942052801945069,8.237053893127968,8.089553347536514
20,7.851526354237232,8.32774317328091,8.089634763759067
21,7.742605187694732,8.436501507378308,8.089553347536514
22,7.6685907387264844,8.51067878879166,8.089634763759067
23,7.651658295146142,8.527448399926902,8.089553347536514
24,7.5402273937968305,8.638879301276212,8.089553347536514
25,7.475046771705306,8.704913973501379,8.089980372603337
26,7.651631371640992,8.528622906130472,8.09012713888573
27,7.486623115029596,8.692483580043444,8.089553347536514
28,7.542168582978882,8.637100944539263,8.089634763759067
29,7.387045571841712,8.792061123231324,8.089553347536514
30,7.3290125390312,8.850094156041838,8.089553347536514
31,7.43443697336893,8.744832554149205,8.089634763759067
32,7.332067767411572,8.847038927661467,8.089553347536514
33,7.208880231076273,8.970226463996767,8.089553347536514
34,7.217257259216616,8.961849435856426,8.089553347536514
35,7.185817868336153,8.993288826736888,8.089553347536514
36,7.088335843762662,9.090933683755491,8.089634763759067
37,7.078170864398646,9.100935830674393,8.089553347536514
38,7.023253432346811,9.156178927616441,8.089716179981622
39,7.071045136202073,9.10806155887096,8.089553347536514
40,6.92048606825589,9.258620626817146,8.089553347536514
41,6.914551951023366,9.264554744049674,8.089553347536514
42,6.936594091170513,9.242512603902517,8.089553347536514
43,6.93030332978768,9.248803365285358,8.089553347536514
44,6.8706005977439455,9.308933122395919,8.089766860069926
45,6.869228675104927,9.309878019968114,8.089553347536514
46,6.825966980267988,9.353302547250152,8.089634763759067
47,6.696040654728178,9.483066040344859,8.089553347536514
48,6.688536313603055,9.49057038146999,8.089553347536514
49,6.626798002236599,9.552308692836428,8.089553347536514
50,6.607030810213954,9.572075884859078,8.089553347536514
51,6.580451358958581,9.598655336114456,8.089553347536514
52,6.592075571731522,9.587031123341509,8.089553347536514
53,6.565584787077399,9.613684740440743,8.089634763759067
54,6.559948513229175,9.619158181843863,8.089553347536514
55,6.51127902795455,9.667827667118484,8.089553347536514
56,6.425392955893179,9.753713739179856,8.089553347536514
57,6.480065257382292,9.699041437690743,8.089553347536514
58,6.356996282157383,9.822110412915649,8.089553347536514
59,6.4740344253041195,9.70523510221403,8.089634763759067
60,6.365576576743395,9.81353011832964,8.089553347536514
61,6.3159135808751845,9.86319311419785,8.089553347536514
62,6.273853281464959,9.905253413608087,8.089553347536514
63,6.3254982646468445,9.853608430426195,8.089553347536514
64,6.3337500828925615,9.845519444625584,8.089634763759067
65,6.367389422012719,9.811717273060317,8.089553347536514
66,6.294025482633555,9.885081212439484,8.089553347536514
67,6.226940980557503,9.952165714515536,8.089553347536514
68,6.232451173179637,9.946655521893403,8.089553347536514
69,6.199154321481517,9.979952373591523,8.089553347536514
70,6.2139088276288765,9.965197867444164,8.089553347536514
71,6.204339613614738,9.974767081458301,8.089553347536514
72,6.181755049478296,9.99735164559474,8.089553347536514
73,6.131252141747892,10.047854553325143,8.089553347536514
74,6.076502195532169,10.102767331985977,8.089634763759067
75,6.15195829366787,10.027148401405167,8.089553347536514
76,6.030542557917088,10.148564137155947,8.089553347536514
77,6.0027800834767,10.176326611596334,8.089553347536514
78,6.048274181201286,10.130832513871756,8.089553347536514
79,6.082513905675647,10.096592789397382,8.089553347536514
80,6.0814679542078744,10.097638740865154,8.089553347536514
81,6.066438973077007,10.112667721996026,8.089553347536514
82,6.030730888148857,10.148375806924179,8.089553347536514
83,6.042032218880421,10.137074476192621,8.089553347536514
84,6.070038089561073,10.109068605511967,8.089553347536514
85,5.942769071814689,10.23650045570346,8.089634763759067
86,5.995076750514538,10.184029944558503,8.089553347536514
87,5.906986800040537,10.272119895032501,8.089553347536514
88,5.96331926875337,10.215787426319677,8.089553347536514
89,5.929077532674038,10.250029162398997,8.089553347536514
90,5.927342145971204,10.251764549101832,8.089553347536514
91,6.079442423226867,10.099664271846176,8.089553347536514
92,5.991828408081031,10.187278286992003,8.089553347536514
93,5.896487514835882,10.282619180237155,8.089553347536514
94,5.907664906129687,10.271441788943351,8.089553347536514
95,5.887298820751132,10.291807874321902,8.089553347536514
96,5.789713806240467,10.389555721277684,8.089634763759067
97,5.78859972514607,10.390506969926967,8.089553347536514
98,5.774562309928368,10.404544385144675,8.089553347536514
99,5.770821474517672,10.408285220555367,8.089553347536514
100,5.669966352721366,10.509140342351676,8.089553347536514
